,,,Away,,Away,,Away,,Away,,Away,,Away,,,
,,,17,,11,,7,,18,,24,,25,,,
Period,Frame,Time [s],Player17,,Player11,,Player7,,Player18,,Player24,,Player25,,Ball,
1,1,0.00,76.06556097050603,65.96395265388715,76.07009376797443,18.41510285131618,88.6673555966653,90.74269313595487,73.60527592415262,72.93834149727608,NaN,NaN,NaN,NaN,91.27299751414299,88.08315217204608
1,2,0.50,76.12029106183982,63.79654760871665,75.3030022416399,18.4239062815785,90.14219813017542,90.6440739886627,72.63078378900039,71.42257975841596,NaN,NaN,NaN,NaN,91.46031242534657,87.48948199978771
1,3,1.00,77.03095417741415,62.88576187776573,75.14757486939797,22.971030298920326,91.66289923782102,90.11188846342085,72.80713102271176,71.01476285741529,NaN,NaN,NaN,NaN,92.32504058422505,87.71753783787616
1,4,1.50,79.40477829812565,59.580427344455615,76.39139929925122,25.810241805001475,92.7251724938313,89.09038223507424,73.70065452251784,70.22478018207799,NaN,NaN,NaN,NaN,93.54886787355251,87.19822422177769
1,5,2.00,81.66893579944669,58.40404057609489,77.55569657187061,29.472348581342835,94.168688209469,87.8884594442631,74.63870428502143,70.47070643469061,NaN,NaN,NaN,NaN,94.5472493365684,69.7359541027511
1,6,2.50,84.41199404453741,60.48741811299149,78.82052820344914,35.162105487511504,95.09454340769096,88.61607321688989,75.77147720318482,70.63519962710285,NaN,NaN,NaN,NaN,90.04902516889997,62.73847791876345
1,7,3.00,87.89369831110733,62.02388074400379,80.14606617770626,38.848147155434596,95.09454340769096,88.61607321688989,77.35267756805239,70.44670664822358,NaN,NaN,NaN,NaN,88.10431121025442,60.46885644778728
1,8,3.50,91.55708304806478,55.994636461398564,90.54349071716473,66.12961453682436,80.3445818668456,45.21870016090741,95.09454340769096,88.61607321688989,NaN,NaN,NaN,NaN,78.45395073820707,70.77569832761594
